partner_id,name,phone,city_id,joining_date,vehicle_type,average_rating,total_deliveries,is_active,gender,age
1,Advik Maharaj,9332181960,2,2021-10-26,Bicycle,3.9,7414,0,Male,24
2,Ikbal Kaul,9890838637,38,2023-12-07,Scooter,3.5,3170,0,Male,32
3,Fariq Sami,9542351161,36,2024-08-14,Bike,4.6,17956,1,Male,32
4,Libni Bassi,9781618495,38,2026-06-23,Scooter,4.7,312,0,Female,45
5,Bhavya Bath,9341316475,18,2022-12-13,Bike,3.8,11129,0,Female,23
6,Raagini Kadakia,9419283276,7,2023-11-11,Scooter,4.8,19882,1,Female,20
7,Omaja Bhalla,9305641395,35,2023-05-17,Bike,5.0,12503,0,Female,53
8,Siya Shanker,9242388496,41,2026-07-12,Bicycle,4.8,11950,0,Female,22
9,Pratyush Kanda,9287101226,43,2022-02-08,Bike,4.7,2714,0,Male,24
10,Sai Sidhu,9848018451,18,2024-01-23,Scooter,4.5,12054,0,Female,41
11,Gaurangi Setty,9048281489,14,2023-04-04,Bicycle,3.9,2439,0,Female,52
12,Rachit Edwin,9880957015,11,2024-03-07,Scooter,4.1,18350,0,Male,38
13,Ayush Khosla,9911718227,15,2026-03-30,Bike,4.7,13245,1,Male,22
14,Kevin Wable,9963834657,37,2025-12-20,Bicycle,4.0,16458,1,Male,47
15,Darpan Kota,9315098393,17,2021-08-17,Bike,3.9,18494,1,Male,55
16,Bhanumati Karnik,9105183473,38,2026-02-25,Scooter,4.0,4632,1,Female,23
17,Warjas Kibe,9763116566,8,2025-07-15,Bike,4.4,13933,0,Male,42
18,Chavvi Bhat,9651333872,39,2025-02-25,Scooter,4.3,18228,0,Female,25
19,Maya Shere,9317810801,50,2023-07-30,Bicycle,4.0,9717,1,Female,28
20,Tanvi Sunder,9736026064,1,2025-06-08,Bicycle,4.8,8730,0,Female,50
21,Siddharth Sur,9234309805,41,2022-01-19,Scooter,4.8,16735,0,Male,27
22,Waida Thakkar,9820812191,49,2023-07-26,Bike,4.3,17478,0,Female,38
23,Dipta Koshy,9990916998,2,2024-04-03,Bike,4.9,10176,0,Female,21
24,Harsh Murthy,9346247510,37,2025-06-18,Bike,3.6,16024,0,Male,52
25,Balhaar Yogi,9384251354,9,2022-11-28,Bicycle,4.2,18115,0,Male,34
26,Nidhi Wadhwa,9084124118,14,2022-11-20,Bicycle,4.6,6691,1,Female,43
27,Megha Kade,9534874016,29,2023-12-02,Bicycle,4.2,8223,0,Female,22
