restaurant_id,restaurant_name,owner_name,city_id,cuisine_type,opening_time,closing_time,average_rating,total_reviews,commission_rate,is_active
1,"Choudhury, Bakshi and Maharaj Restaurant",Udant Dewan,41,South Indian,08:00:00,23:30:00,3.6,1848,17.09,0
2,"Chaudry, Chahal and Sami Restaurant",Ayushman Chander,44,Punjabi,10:00:00,22:00:00,4.2,280,15.45,0
3,Kaul PLC Restaurant,Rushil Saini,15,Mughlai,10:00:00,22:00:00,4.1,4484,21.29,1
4,Sen PLC Restaurant,Abeer Dutta,38,Fast Food,08:00:00,22:00:00,4.4,2807,19.17,0
5,"Sami, Oak and Mall Restaurant",Tanveer Nayar,49,Pizza,08:00:00,22:00:00,3.8,2960,27.71,1
6,Chanda Group Restaurant,Jagrati Padmanabhan,3,Punjabi,09:00:00,23:30:00,3.2,3120,16.18,1
7,"Lalla, Bassi and Sharaf Restaurant",Kritika Brar,41,Maharashtrian,09:00:00,23:30:00,3.4,589,15.69,0
8,"Memon, Pathak and Handa Restaurant",Chakradev Kari,50,Fast Food,08:00:00,22:00:00,4.7,3133,19.17,1
9,Buch-Kaul Restaurant,Lajita Mall,11,Pizza,09:00:00,22:00:00,4.3,604,24.14,0
10,Patla-Gaba Restaurant,Isha Kadakia,35,Punjabi,08:00:00,22:00:00,3.9,2231,29.84,0
11,"Loke, Bora and Garg Restaurant",Nihal Shere,44,Pizza,08:00:00,22:00:00,4.6,2604,21.02,0
12,Madan-Kanda Restaurant,Daksh Karnik,14,Street Food,10:00:00,23:30:00,3.6,4109,20.93,1
13,Mutti Group Restaurant,Dominic Kakar,10,Fast Food,08:00:00,22:00:00,4.5,4435,18.94,1
14,"Murty, Kala and Tata Restaurant",Tara Dhar,38,Burger,09:00:00,22:00:00,5.0,1153,22.64,0
15,Dewan-Koshy Restaurant,Priya Rastogi,49,North Indian,08:00:00,22:00:00,4.3,3478,23.95,1
16,Kanda-Devi Restaurant,Gavin Batta,25,Maharashtrian,09:00:00,23:30:00,3.5,4552,27.91,0
17,Dua Ltd Restaurant,Pahal Bhatt,44,Punjabi,08:00:00,23:30:00,4.8,2205,26.53,1
18,Raj-Sidhu Restaurant,Advay Contractor,8,Fast Food,09:00:00,22:00:00,3.9,2177,29.58,0
19,"Yadav, Loke and Oak Restaurant",Chaaya Saran,33,Street Food,08:00:00,23:30:00,3.6,4178,24.13,0
20,Setty Inc Restaurant,Xiti Gokhale,24,Cafe,08:00:00,23:30:00,4.9,4364,28.78,1
21,"Cherian, Misra and Tripathi Restaurant",Michael Prakash,32,North Indian,08:00:00,23:00:00,4.8,2539,18.59,0
22,Zacharia PLC Restaurant,Ekiya Suresh,37,South Indian,08:00:00,23:30:00,4.0,586,29.67,0
23,Choudhury LLC Restaurant,Wriddhish Bhardwaj,9,Gujarati,09:00:00,23:30:00,3.3,4342,28.09,1
24,Brar Inc Restaurant,Ekapad Walia,14,Street Food,10:00:00,23:30:00,4.4,2573,20.98,1
25,Dave Ltd Restaurant,Noah Lanka,29,Street Food,10:00:00,23:00:00,3.2,1860,15.96,0
26,"Sampath, Kakar and Zacharia Restaurant",Devika Rastogi,38,Mughlai,08:00:00,23:30:00,3.4,601,25.62,0
27,"Prakash, Sarma and Varughese Restaurant",Jai Kota,15,South Indian,08:00:00,23:00:00,3.1,1969,19.18,1
28,Bhatt LLC Restaurant,Victor Kannan,14,Mughlai,08:00:00,23:30:00,4.9,4697,23.64,0
29,Bobal Ltd Restaurant,Veer Bir,31,Cafe,09:00:00,22:00:00,3.2,3551,20.31,1
30,Narayanan Inc Restaurant,Arya Sunder,30,Desserts,10:00:00,22:00:00,4.3,826,15.91,1
31,Zacharia and Sons Restaurant,Xavier Solanki,7,Italian,08:00:00,22:00:00,4.1,1168,21.33,1
32,Gupta-Chandra Restaurant,Raagini Pandya,30,Italian,08:00:00,23:00:00,4.6,4528,16.47,0
33,Roy-Sibal Restaurant,Guneet Bhat,6,Street Food,08:00:00,22:00:00,3.8,3963,18.21,1
